Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"CINT,LOMO TR,VACIO XXL EROSKI",6833388,1-FRESCOS,2-CARNICERIA,62-PORCINO ENVASADO,1-PORCINO BLANCO ENVASADO,1-LOMO BLANCO ENVASADO,"CINT,LOMO TR,VACIO XXL EROSKI",EROSKI,6833388,BANDEJA,"1,2",1200,1,KG,,,,"6,12",,"5,10",,,"6,11",,"5,81","4,85",5%," 'distance': 1,15274667739868",53142,Cinta de lomo de cerdo precio kg,MAKRO,,KILO,1,KG,1000,1,1000,,,,"5,60","5,04",,"5,60","5,04",,10%,COMPRA MAS PAGA MENOS,"-0,20","0,06",1%,-4%,-10%,-33%,-36%
"Lejía para lavadora NEUTREX, botella 960 ml",25148289,2-ALIMENTACION,12-DROGUERIA,47-LEJIAS,7-LEJÍAS LAVADORA,1-LAVADORA¿PEQUEÑA,"Lejía para lavadora NEUTREX, botella 960 ml",NEUTREX,25148289,BOTELLA,"0,96",960,1,L,,,,"2,05",,"2,14",,,"1,07",,,,," 'distance': 0,9971880912780762",207106,NEUTREX lejía lavadora 3,NEUTREX,,BOTELLA,"3,82",L,3820,1,3820,,,,"8,41",,,"2,20",,,,,"-0,07","-0,07",-3%,-3%,-3%,11%,-19%
Canonigos EROSKI bolsa 125 g,11016706,1-FRESCOS,1-FRUTA Y HORTALIZA,8-IV GAMA,51-ENSALADAS VALOR,20-COMPLEMENTOS DE ENSALADA,Canonigos EROSKI bolsa 125 g,EROSKI,11016706,BOLSA,"0,125",125,1,KG,,,,"1,16",,"9,28",,,"21,42",,,,," 'distance': 0,385749275940283",73250,Canonigos bolsa 200g,MAKRO,,BOLSA/BOLSON,"0,2",KG,200,1,200,,,,"2,55",,,"12,75",,,,,"-3,47","-3,47",-37%,-37%,-37%,-37%,-37%
"Suavizante lirio cautivador MIMOSÍN ORIGINS, botella 50 dosis",26124818,2-ALIMENTACION,12-DROGUERIA,43-SUAVIZANTES,15-SUAVIZANTES PREMIUM,10-SUAVIZANTES PREMIUM BLANCO,"Suavizante lirio cautivador MIMOSÍN ORIGINS, botella 50 dosis",MIMOSIN,26124818,BOTELLA,50,50000,50,DOSIS,,,,"4,19",,"0,08",,,"0,8",,,,," 'distance': 3,46693754196167",434135,Mimosín Profesional suavizante xxl 166 lavados 10 L',MIMOSIN PROF,,GARRAFA,"10,00",DOSIS,10000,166,1660000,,,,"18,45","15,68",,"0,11","0,09",,15%,COMPRA MAS PAGA MENOS,"-0,01","-0,01",-13%,-13%,-33%,-37%,-37%
"Recambio de fregona amarilla EROSKI basic, pack 1 unid.",3117256,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,1-FREGONAS,9-RECAMBIO¿FREGONA¿TIRAS SINTE.,"Recambio de fregona amarilla EROSKI basic, pack 1 unid.",EROSKI BASIC,3117256,PACK,1,1000,1,UDS,,,,"0,88",,"0,88",,,"2,15",,,,," 'distance': 0,846323370933533",211525,aro fregona amarilla contiene 2 unidades,ARO,,BOLSA/BOLSON,"0,2",UDS,200,2,400,,,,"2,41",,,"1,21",,,,,"-0,33","-0,33",-37%,-37%,-37%,-37%,-37%
TOMATE FRITO SERVIHOSTEL 6/3K,6817696,2-ALIMENTACION,8-SALADO,10-TOMATE,9-TOMATE FRITO,9-TOMATE FRITO LISO LATA,"TOMATE FRITO SERVIHOSTEL 6/2,6K",SERVIHOSTEL,6817696,LATA,"2,6",2600,1,KG,,,,"4,35",,"1,67",,,0,,"3,70","1,42",15%," 'distance': 0,306739002466202",98024,makro Chef tomate frito 2550g,METRO CHEF,,Lata,"2,55",KG,2550,1,2550,,,,"5,27","4,53",,"2,07","1,78",,14%,COMPRA MAS PAGA MENOS,"-0,36","-0,10",-6%,-25%,-24%,-43%,-39%
Bayeta microfibra grande EROSKI pack 3 uds.,23059157,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,7-BAYETAS,7-BAYETA¿MULTIUSOS MICROFIBRA,Bayeta microfibra grande EROSKI pack 3 uds.,EROSKI,23059157,PACK,,,3,UDS,,,,"1,75",,"0,58",,,"3,26",,,,," 'distance': 0,585165619850159",215870,METRO PROFESSIONAL bayeta microfibra roja,METRO PROFESSIONAL,,BOLSA/BOLSON,"0,242",UDS,242,5,1210,,,,"3,98",,,"0,80",,,,,"-0,21","-0,21",-36%,-36%,-36%,-36%,-36%
"Aceite de girasol alto oleico SERVIHOSTEL, garrafa 5 litros",13319454,2-ALIMENTACION,9-COCINA,1-ACEITE,3-ACEITE GIRASOL FORMATO GRANDE,3-ACEITE GIRASOL FORMATO GRANDE,"Aceite de girasol alto oleico SERVIHOSTEL, garrafa 5 litros",SERVIHOSTEL,13319454,GARRAFA,5,5000,1,L,,,,"10,95",,"2,19",,,,,"10,40","2,08",5%," 'distance': 0,449572485024958",78093,METRO Chef aceite girasol alto oléico bidón 5l,METRO CHEF,,BIDON,5,L,5000,1,5000,,,,"10,84",,,"2,17",,,,,"-0,09","0,02",1%,-4%,1%,-37%,-36%
"Manzana Reineta Gris, al peso, compra mínima 1 kg",11321775,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,25-MANZANAS,10-MANZANAS SEMIACIDAS,"Manzana Reineta Gris, al peso, compra mínima 1 kg",EROSKI,11321775,GRANEL,1,1000,1,KG,,,,"2,51",,"2,51",,,"7,36",,"2,26","2,26",10%," 'distance': 4,891961574554443",661219,'Manzana reineta parda calibre 80/85 peso 4 kg',MAKRO CHEF,,CAJA/CAJON,"2,30",KG,2300,1,2300,,,,"7,85",,,"3,41",,,,,"-1,15","-0,90",-36%,-51%,-36%,-29%,-32%
"Salsa wok KIKKOMAN, frasco 250 ml",9658683,2-ALIMENTACION,9-COCINA,3-SALSAS,9-SALSAS ESPECIALES,21-SALSAS SOJA,"Salsa wok KIKKOMAN, frasco 250 ml",KIKKOMAN,9658683,FRASCO,"0,25",250,1,L,,,,"5,79",,"23,16",,,"0,11",,"4,92","19,69",15%," 'distance': 2,6201791763305664",215087,'KIKKOMANN salsa poke 250 ml',KIKKOMAN,,CAJA/CAJON,"0,25",L,250,1,250,,,,"5,93",,,"23,72",,,,,"-4,03","-0,56",-2%,-20%,-2%,-23%,-31%
Arroz basmati EROSKI paquete 1 kg,9160615,2-ALIMENTACION,9-COCINA,7-ARROZ,7-ARROZ ESPECIAL,3-ARROZ AROMATICO,Arroz basmati EROSKI paquete 1 kg,EROSKI,9160615,PAQUETE,1,1000,1,KG,,,,"2,20",,"2,20",,,5,,,,," 'distance': 0,58828216791153",197577,METRO Chef arroz basmati 1kg,METRO CHEF,,BOLSA/BOLSON,1,KG,1000,1,1000,,,,"2,34","1,97",,"2,34","1,97",,16%,COMPRA MAS PAGA MENOS,"0,23","0,23",11%,11%,-6%,-6%,-25%
"Torrijas caramelizadas CASA ECEIZA, caja 280 g",19699628,2-ALIMENTACION,3-CONGELADOS,3-HELADO,1-HELADO FAMILIAR,35-HELADO FAMILIAR TARTA RESTO,"Torrijas caramelizadas CASA ECEIZA, caja 280 g",CASA ECEIZA,19699628,CAJA,"0,28",280,1,KG,,,,"4,65","3,49","16,61","12,46",,"0,57",2nd unit-50%,,,," 'distance': 2,0813186168670654",215227,'Casa Eceiza torrija caramelizada 100 g contiene 2 unidades congelado (total 200 g)',CASA ECEIZA,,ESTUCHE,"0,20",KG,200,1,200,,,,"4,28",,,"21,40",,,,,"-8,94","-8,94",-72%,-72%,-29%,-29%,-32%
Muslito de mar EROSKI caja 500 g,8928806,2-ALIMENTACION,3-CONGELADOS,9-PESCADO Y MARISCO CONGELADO,4-SURIMI,98-SURIMI-OTROS,Muslito de mar EROSKI caja 500 g,EROSKI,8928806,CAJA,"0,5",500,1,KG,,,,"2,89",,"5,78",,,"0,46",,"2,75","5,49",5%," 'distance': 0,323149412870407",102509,makro Chef Muslitos de mar 1Kg,MAKRO CHEF,,BOLSA/BOLSON,1,KG,1000,1,1000,,,,"7,8","7,41",,"7,80","7,41",,5%,COMPRA MAS PAGA MENOS,"-1,92","-1,63",-28%,-35%,-35%,-42%,-37%
COCTEL MIX SERVIHOSTEL BOL 2K C/,14446710,2-ALIMENTACION,8-SALADO,3-FRUTOS SECOS,23-COCKTAIL,10-COCKTAIL S/CASCARA MAS DE 150G,COCTEL MIX SERVIHOSTEL BOL 2K C/,SERVIHOSTEL,14446710,BOLSA,2,2000,1,KG,,,,"9,63",,"4,82",,,"0,38",,"9,15","4,57",5%," 'distance': 1,65935516357422",108682,"METRO Chef mezcla de 4 frutos secos cubo 2,1 kg",METRO CHEF,,Cubo,"2,1",KG,2100,1,2100,,,,"13,04",,,"6,21",,,,,"-1,64","-1,39",-29%,-36%,-29%,-27%,-32%
Anacardos fritos EROSKI bolsa 175 g,17402421,2-ALIMENTACION,8-SALADO,3-FRUTOS SECOS,21-NOBLES,3-ANACARDOS,Anacardos fritos EROSKI bolsa 175 g,EROSKI,17402421,BOLSA,"0,175",175,1,KG,,,,"2,36",,"13,49",,,"2,23",,"2,24","12,81",5%," 'distance': 4,570286273956299",158075,'makro Chef Anacardo frito bolsa 1kg',MAKRO CHEF,,BOLSA/BOLSON,"1,00",KG,1000,1,1000,,,,"16,12",,,"16,12",,,,,"-3,31","-2,63",-20%,-26%,-20%,-29%,-32%
Jamón serrano EROSKI sobre 150 g,6002067,1-FRESCOS,4-CHARCUTERIA,"6-CURADOS, EMBUT. E IBERICOS",3-CURADOS PORCION,2-JAMON CURADO PORCION,Jamón serrano EROSKI sobre 150 g,EROSKI,6002067,SOBRE,"0,15",150,1,KG,España,,,"2,32",,"15,47",,,"2,16",,"2,09","13,92",10%," 'distance': 3,2471930980682373",115870,makro Chef jamón serrano 80 g contiene 5 sobres (Total 400 g)',MAKRO CHEF,,SOBRE,"0,40",KG,400,1,400,,,,"8,68","7,81",,"21,70","19,53",,10%,COMPRA MAS PAGA MENOS,"-5,61","-4,06",-26%,-40%,-40%,-33%,-33%
"Aceite de girasol SERVIHOSTEL, garrafa 10 litros",8351827,2-ALIMENTACION,9-COCINA,1-ACEITE,5-ACEITES GIRASOL,3-ACEITE GIRASOL FORMATO GRANDE,"Aceite de girasol SERVIHOSTEL, garrafa 10 litros",SERVIHOSTEL,8351827,GARRAFA,10,10000,1,L,,,,"15,62",,"1,56",,,"0,46",,"14,84","1,48",5%," 'distance': 0,556873798370361",78056,aro aceite girasol 5l,ARO,,BIDON,5,L,5000,1,5000,,,,"9,30",,,"1,86",,,,,"-0,38","-0,30",-19%,-25%,-19%,-35%,-34%
Lejía para lavadora densa EROSKI garrafa 5 litros,15001662,2-ALIMENTACION,12-DROGUERIA,47-LEJIAS,7-LEJÍAS LAVADORA,3-LAVADORA¿GRANDE,Lejía para lavadora densa EROSKI garrafa 5 litros,EROSKI,15001662,GARRAFA,5,5000,1,L,,,,"2,89",,"0,58",,,"1,29",,,,," 'distance': 3,166252851486206",78073,makro PROFESSIONAL Lejía densa lavadora perfumada 5L,MAKRO PROFESSIONAL,,GARRAFA,"5,00",L,5000,1,5000,,,,"3,50",,,"0,70",,,,,"-0,12","-0,12",-21%,-21%,-21%,-21%,-29%
"AZUCAR PLAST, SERVIHOST,1000SOBX",12091633,2-ALIMENTACION,9-COCINA,19-AZUCAR Y EDULCORANTES,1-AZUCAR,7-AZUCARILLOS,"AZUCAR PLAST, SERVIHOST,1000SOBX",SERVIHOSTEL,12091633,CAJA,8,8000,1000,KG,,,,"14,25",,"1,78",,,"0,03",,,,," 'distance': 0,842923879623413",205393,RIOBA azúcar blanco sobre 6 g contiene 1000 unidades (total 6000 g ),RIOBA,,CAJA/CAJON,"0,006",KG,6,1000,6000,,,,"12,64","10,74",,"2,11","1,79",,15%,COMPRA MAS PAGA MENOS,"-0,01","-0,01",-1%,-1%,-18%,-32%,-32%
"Mayonesa HEINZ, frasco 480 ml",19530906,2-ALIMENTACION,9-COCINA,3-SALSAS,"3-MAYONESAS, S,FINAS Y S,LIGERAS","3-MAYO,S,FINAS FCO MAS 300 ML","Mayonesa HEINZ, frasco 480 ml",HEINZ,19530906,FRASCO,"0,48",480,1,L,,,,"3,19",,"6,65",,,"0,73",,"2,71","5,65",15%," 'distance': 4,220498085021973",121903,'HEINZ mayonesa pet 875ml',HEINZ,,BOTE,"0,88",L,875,1,875,,,,"7,69",,,"8,79",,,,,"-3,14","-2,14",-32%,-56%,-32%,-32%,-32%
Salsa de queso EROSKI frasco 280 g,25944299,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,25-MEXICANA SALSAS,Salsa de queso EROSKI frasco 280 g,EROSKI,25944299,FRASCO,"0,28",280,1,KG,,,,"1,54",,"5,50",,,,,"1,23","4,40",20%," 'distance': 0,6393988132476807",116446,"METRO Chef salsa queso cheddar dip pet 1,110kg",METRO CHEF,,BOTE,1,L,1000,1,1000,,,,"8,64","7,34",,"7,26","6,17",,15%,COMPRA MAS PAGA MENOS,"-1,77","-0,67",-12%,-40%,-32%,-32%,-32%
Piña cilindro EROSKI tarrina 525 g,25966037,1-FRESCOS,1-FRUTA Y HORTALIZA,8-IV GAMA,55-PREPARADOS DE FRUTA,5-FRUTA LIMPIA Y PARTIDA,Piña cilindro EROSKI tarrina 525 g,EROSKI,25966037,TARRINA,"0,525",525,1,KG,,,,"3,59",,"6,84",,,"11,09",,,,," 'distance': 0,6371825337409973",211936,METRO Chef piña en rodajas bandeja 2000 g,METRO CHEF,,BOTE,2,KG,2000,1,2000,,,,"12,99",,,"6,50",,,,,"0,34","0,34",5%,5%,5%,-32%,-32%
Jamón cocido EROSKI pack 2x200 g,24928145,1-FRESCOS,4-CHARCUTERIA,20-COCIDOS PORCION,5-COCIDOS CERDO,5-JAMON DE CERDO,Jamón cocido EROSKI pack 2x200 g,EROSKI,24928145,PACK,"0,4",400,1,KG,,,,"3,49",,"8,73",,,"6,83",,"3,32","8,29",5%," 'distance': 5,151489734649658",163829,makro Chef jamón cocido 11x11 loncheado pack 500g',MAKRO CHEF,,PACK,"0,50",KG,500,1,500,,,,"6,00","5,16",,"12,00","10,32",,14%,COMPRA MAS PAGA MENOS,"-2,03","-1,60",-18%,-25%,-38%,-42%,-34%
"Entrecot de lomo alto de vaca, al peso, compra mínima",24990913,1-FRESCOS,2-CARNICERIA,75-VITRINA,9-VACUNO MAYOR VITRINA,10-VACUNO MAYOR LOMO VITRINA,"Entrecot de lomo alto de vaca, al peso, compra mínima",EROSKI,24990913,KILO,1,1000,1,KG,,,,"33,95",,"33,95",,,,,,,," 'distance': 0,6082538962364197",196957,entrecot alto vaca,MAKRO,,UNIDAD,"0,3",KG,300,1,300,,,,"14,25",,,"43,17",,,,,"-9,22","-9,22",-27%,-27%,-27%,-31%,-31%
KETCHUP SERVIHOSTEL 4875G C/2,20363487,2-ALIMENTACION,9-COCINA,3-SALSAS,5-KETCHUP,3-KETCHUP MAS 400 G,KETCHUP SERVIHOSTEL 4875G C/2,SERVIHOSTEL,20363487,GARRAFA,"4,875",4875,1,KG,,,,"8,31",,"1,70",,,0,,"7,06","1,45",15%," 'distance': 0,654734373092651",452231,"makro Chef ketchup garrafa 1,85l",METRO CHEF,,Garrafa,"1,85",L,1850,1,1850,,,,"3,51","2,98",,"1,90","1,61",,15%,COMPRA MAS PAGA MENOS,"-0,16","0,09",5%,-11%,-11%,-30%,-31%
"Guisante muy fino EROSKI BASIC, pack 3x140 g",17820580,2-ALIMENTACION,8-SALADO,13-CONSERVAS VEGETALES,19-GUISANTES,1-GUISANTES¿LATA¿PACK,"Guisante muy fino EROSKI BASIC, pack 3x140 g",EROSKI BASIC,17820580,PACK,"0,42",420,1,KG,,,,"2,16",,"5,14",,,"1,9",,,,," 'distance': 0,37786665558815",214073,METRO Chef guisante fino lata 120 gne contiene 3 unidades (200 g),METRO CHEF,,LATA,"0,36",KG,360,1,360,,,,"2,41",,,"6,69",,,,,"-1,55","-1,55",-30%,-30%,-30%,-30%,-30%
"Licor de whisky DRAMBUIE, botella 70 cl",377754,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,17-LICORES CON ALCOHOL,15-LICOR BASE WHISKY,"Licor de whisky DRAMBUIE, botella 70 cl",DRAMBUIE,377754,BOTELLA,"0,7",700,1,L,,,,"22,95",,"32,79",,,0,,"19,51","27,87",15%," 'distance': 1,683436393737793",61596,'DRAMBUIE licor whisky botella 70cl',DRAMBUIE,,BOTELLA,"0,70",L,700,1,700,,,,"32,85",,,"46,93",,,,,"-19,06","-14,14",-43%,-68%,-43%,-29%,-29%
BOQUERON ARTEIÑAKI,16292781,1-FRESCOS,7-PESCADERIA,12-ESPECIALIDADES,30-CONSERVAS DE ANCHOA,35-BOQUERON EN VINAGRE,BOQUERON ARTEIÑAKI,ARTEIÑAKI,16292781,TARRINA,"0,25",250,1,KG,,,,"5,17","4,91","20,68","19,65",,"47,69",5%,"3,68","14,73",25%," 'distance': 0,181173965334892",106677,Arteiñaki boquerón aliñado 250 g,Arteiñaki,,TARRINA,"0,25",KG,250,1,250,,,,"6,66","5,73",,"26,64","22,91",,14%,COMPRA MAS PAGA MENOS,"-8,18","-3,26",-17%,-55%,-29%,-29%,-29%
Grarbanzo lechoso EROSKI paquete 1 kg,25948357,2-ALIMENTACION,9-COCINA,9-LEGUMBRES,3-GARBANZO SECO,3-GARBANZO LECHOSO,Grarbanzo lechoso EROSKI paquete 1 kg,EROSKI,25948357,PAQUETE,1,1000,1,KG,,,,"2,50",,"2,50",,,"1,15",,"2,13","2,13",15%," 'distance': 6,243133544921875",200649,'makro Chef garbanzo lechoso paquete 1kg',MAKRO CHEF,,BOLSA/BOLSON,"1,00",KG,1000,1,1000,,,,"3,21","2,92",,"3,21","2,92",,9%,COMPRA MAS PAGA MENOS,"-0,80","-0,42",-17%,-37%,-28%,-28%,-28%
"Tinto de verano clásico LA CASERA, lata 33 cl",26141986,2-ALIMENTACION,11-BEBIDAS,13-VINO DE MESA,20-TINTO DE VERANO,5-TINTO DE VERANO REGULAR,"Tinto de verano clásico LA CASERA, lata 33 cl",LA CASERA,26141986,LATA,"0,33",330,1,L,,,,"1,00",,"3,03",,,1,,"0,90","2,73",10%," 'distance': 1,6072649955749512",86198,'La Casera tinto de verano botella 27,LA CASERA,,BOTELLA,"0,28",L,275,24,6600,,,,"25,35",,,"3,84",,,,,"-1,11","-0,81",-27%,-41%,-27%,-27%,-28%
"Cuchara de café Hotel, inox 18/0 JAY, 3 uds",16107906,4-BAZAR,20-MENAJE,1-SERVICIO DE MESA,7-CUBIERTOS,"1-DESPIECE DE CUBIERTOS EN INOX,","Cuchara de café Hotel, inox 18/0 JAY, 3 uds",JAY,16107906,INOX,3,3000,3,UDS,,,,"1,99",,"0,66",,,"2,65",,,,," 'distance': 3,338245391845703",502645,Jay cuchara café hotel 18% contiene 6 unidades',JAY,,UNIDAD,"0,02",UDS,19,6,114,,,,"5,38","4,57",,"0,90","0,76",,15%,COMPRA MAS PAGA MENOS,"-0,10","-0,10",-15%,-15%,-35%,-36%,-31%
"Rape entero y limpio (1-3 kg), pieza al peso aprox, 1,5 kg",835744,1-FRESCOS,7-PESCADERIA,14-MOSTRADOR PESCADERIA,25-RAPE,5-PIEZAS DE RAPE,"Rape entero y limpio (1-3 kg), pieza al peso aprox, 1,5 kg",EROSKI,835744,PIEZA,"1,5",1500,1,KG,,,,"16,10","14,97","10,73","9,98",,"4,49",7%,"13,48","8,98",10%," 'distance': 4,399233818054199",209372,"Rape limpio 0,8-1 Kg FAO27",MAKRO,,KILO,"0,90",KG,900,1,900,,,,"12,38",,,"16,23",,,,,"-7,25","-6,25",-63%,-81%,-51%,15%,-13%
Anacardo crudo EROSKI bolsa 175 g,21975388,2-ALIMENTACION,8-SALADO,3-FRUTOS SECOS,21-NOBLES,3-ANACARDOS,Anacardo crudo EROSKI bolsa 175 g,EROSKI,21975388,BOLSA,"0,175",175,1,KG,,,,"2,36",,"13,49",,,"6,69",,"2,24","12,81",5%," 'distance': 0,167397048302840",158076,"METRO Chef Anacardo crudo , en bolsa de 500 g",METRO CHEF,,BOLSA/BOLSON,"0,5",KG,500,1,500,,,,"7,64",,,"15,28",,,,,"-2,47","-1,79",-13%,-19%,-13%,-22%,-26%
"Leche desnatada sin lactosa KAIKU, brik 1 litro",8389207,2-ALIMENTACION,5-LACTEOS,3-LECHE,4-LECHE SIN LACTOSA,15-LECHE SIN LACTOSA DESNATADA,"Leche desnatada sin lactosa KAIKU, brik 1 litro",KAIKU,8389207,BRIK,1,1000,1,L,España,,,"1,29",,"1,29",,,"44,46",,"1,23","1,23",5%," 'distance': 2,262162446975708",43588,'Kaiku leche desnatada sin lactosa brik 1 L contiene 6 unidades',KAIKU,,CAJA/CAJON,"1,00",L,1000,6,6000,,,,"9,83",,,"1,64",,,,,"-0,41","-0,35",-27%,-34%,-27%,-27%,-26%
"Aceite oliva virgen extra DOP SIERRA DE CAZORLA, botella 50 cl",25493735,2-ALIMENTACION,9-COCINA,1-ACEITE,3-ACEITE OLIVA VIRGEN,"2-ACEITE V, EXTRA 500 ML D,O,","Aceite oliva virgen extra DOP SIERRA DE CAZORLA, botella 50 cl","S, CAZORLA",25493735,BOTELLA,"0,5",500,1,L,,,,"8,41",,"16,82",,,"0,38",,"7,99","15,98",5%," 'distance': 1,7480411529541016",401115,'Oleo Cazorla aceite oliva virgen extra botella 500ml',OLEO CAZORLA,,UNIDAD,"0,50",L,500,1,500,,,,"10,66",,,"21,32",,,,,"-5,34","-4,50",-27%,-33%,-27%,-27%,-27%
"Espinazos de cerdo EROSKI bandeja aprox, 470 g",11771565,1-FRESCOS,2-CARNICERIA,62-PORCINO ENVASADO,1-PORCINO BLANCO ENVASADO,11-DESPOJO BLANCO ENVASADO,"Espinazos de cerdo EROSKI bandeja aprox, 470 g",EROSKI,11771565,BANDEJA,"0,47",470,1,KG,,,,"1,53",,"3,26",,,"2,07",,"1,45","3,09",5%," 'distance': 3,0700278282165527",183533,'Espinazo de cerdo en bandeja precio kg',MAKRO CHEF,,KILO,"1,35",KG,1350,1,1350,,,,"4,13",,,"4,13",,,,,"-1,04","-0,87",-27%,-34%,-27%,-27%,-27%
"Bloc de oca MARTIKO, pack 2x40 g",10569911,1-FRESCOS,4-CHARCUTERIA,11-PATES PORCION,2-PATES DE PATO/OCA PORCION,10-PATES PATO/OCA PORCI CELEB BLO,"Bloc de oca MARTIKO, pack 2x40 g",MARTIKO,10569911,PACK,"0,08",80,1,KG,,,,"10,95",,"136,88",,,"0,07",,"9,86","123,19",10%," 'distance': 0,221235856413841",144005,Martiko foie gras entero de oca caja 125g,MARTIKO,,CAJA/CAJON,"0,125",KG,125,1,125,,,,"24,04",,,"174,80",,,,,"-51,61","-37,93",-28%,-42%,-28%,-28%,-27%
"Recambio de fregona microfibras EROSKI pack 1 unid,",9504929,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,1-FREGONAS,5-RECAMBIO¿FREGONA¿TIRAS MF,"Recambio de fregona microfibras EROSKI pack 1 unid,",EROSKI,9504929,PACK,1,1000,1,UDS,,,,"2,65",,"2,65",,,"0,73",,,,," 'distance': 6,946578502655029",197700,'METRO PROFESSIONAL repuesto fregona microfibra azul',METRO PROFESSIONAL,,BOLSA/BOLSON,"0,16",UDS,157,1,157,,,,"3,33","2,86",,"3,33","2,86",,14%,COMPRA MAS PAGA MENOS,"-0,21","-0,21",-8%,-8%,-26%,-26%,-25%
"Cerveza americana BUDWEISER, pack botellÍn 6x25 cl",588525,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,1-CERVEZAS LAGER,3-CERVEZAS LAGER ESPECIALES,"Cerveza americana BUDWEISER, pack botellÍn 6x25 cl",BUDWEISER,588525,PACK,"1,5",1500,6,L,,,,"4,89",,"3,26",,,"0,23",,"3,67","2,45",25%," 'distance': 3,211979389190674",80028,BUDWEISER cerveza americana 33cl contiene 24 botellas,BUDWEISER,,PACK,"0,33",L,330,24,7920,,,,"35,88",,,"4,53",,,,,"-2,09","-1,27",-39%,-85%,-39%,-26%,-26%
Cacahuete frito con piel EROSKI bolsa 200 g,25944034,2-ALIMENTACION,8-SALADO,3-FRUTOS SECOS,19-SNACKS,1-CACAHUETES,Cacahuete frito con piel EROSKI bolsa 200 g,EROSKI,25944034,BOLSA,"0,2",200,1,KG,,,,"1,04",,"5,20",,,,,"0,99","4,94",5%," 'distance': 0,188774406909943",238875,METRO Chef cacahuete frito con piel en bolsa de 1 kg,METRO CHEF,,BOLSA/BOLSON,1,KG,1000,1,1000,,,,"5,78",,,"5,78",,,,,"-0,84","-0,58",-11%,-17%,-11%,-27%,-26%
"Mostaza americana FRENCH'S, bote 226 g",20896270,2-ALIMENTACION,9-COCINA,3-SALSAS,7-MOSTAZA,3-MOSTAZAS PET Y SOBRES,"Mostaza americana FRENCH'S, bote 226 g",FRENCH'S,20896270,BOTE,"0,226",226,1,KG,Estados Unidos,,,"3,25",,"14,38",,,"0,26",,"2,76","12,22",15%," 'distance': 1,024917483329773",137694,"""French's mostaza americana",FRENCH'S,,BOTE,"0,23",L,226,1,226,,,,"3,51",,,"15,53",,,,,"-3,31","-1,15",-8%,-27%,-8%,-8%,-19%
TORTILL MAIZ MEXIFOODS 18U C/18,21320239,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,20-MEXICANA MASAS,TORTILL MAIZ MEXIFOODS 18U C/18,MEXIFOODS,21320239,POLTSA,1,1000,18,UDS,,,,"1,98",,"0,11",,,"1,34",,"1,58","1,58",20%," 'distance': 0,214164793491363",125875,"Mexifoods tortilla maíz 12cm contiene 18 unidades (360 g aprox,)",MEXIFOODS,,Retractil,"0,36",UDS,360,18,6480,,,,"2,55","2,19",,"0,14","0,12",,14%,COMPRA MAS PAGA MENOS,"-0,01","-0,01",-11%,-11%,-29%,-29%,-26%
"ESPARR,BCO,EXT,17/24 SERVIHOS,12",6819882,2-ALIMENTACION,8-SALADO,12-ESPARRAGOS,9-ESPARRAGOS BLANCOS,15-ESPARRAGO FRASCO MEDIO,"ESPARR,BCO,EXT,17/24 SERVIHOS,12",SERVIHOSTEL,6819882,lata,"0,66",660,1,KG,,,,"3,84",,"5,82",,,"0,15",,,,, 'distance': 100,78245,makro Chef espárrago 17/24 lata 500g,MAKRO CHEF,,lata,"0,5",KG,500,1,500,,,,"5,05","4,60",,"10,10","9,19",,9%,COMPRA MAS PAGA MENOS,"-3,37","-3,37",-58%,-58%,-74%,-25%,-25%
